league,season,team,player,nation,pos,age,born,MP Playing Time,Starts Playing Time,Min Playing Time,90s,GA Performance,GA90 Performance,SoTA Performance,Saves Performance,Save% Performance,W Performance,D Performance,L Performance,CS Performance,CS% Performance,PKatt Penalty Kicks,PKA Penalty Kicks,PKsv Penalty Kicks,PKm Penalty Kicks,Save% Penalty Kicks,Opp Crosses,Stp Crosses,Stp% Crosses,/90 Expected,PSxG Expected,PSxG+/- Expected,PSxG/SoT Expected,Att Goal Kicks,AvgLen Goal Kicks,Launch% Goal Kicks,CK Goals,FK Goals,GA Goals,OG Goals,PKA Goals,Att Launched,Cmp Launched,Cmp% Launched,Att (GK) Passes,AvgLen Passes,Launch% Passes,Thr Passes,#OPA Sweeper,#OPA/90 Sweeper,AvgDist Sweeper,nation_player,pos_player,age_player,born_player,MP Playing Time_player,Starts Playing Time_player,Min Playing Time_player,90s Playing Time,Gls Performance,Ast Performance,G+A Performance,G-PK Performance,PK Performance,PKatt Performance,CrdY Performance,CrdR Performance,xG Expected,npxG Expected,xAG Expected,npxG+xAG Expected,PrgC Progression,PrgP Progression,PrgR Progression,Gls Per 90 Minutes,Ast Per 90 Minutes,G+A Per 90 Minutes,G-PK Per 90 Minutes,G+A-PK Per 90 Minutes,xG Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,npxG Per 90 Minutes,npxG+xAG Per 90 Minutes,90s_player,G-xG Expected,np:G-xG Expected,npxG/Sh Expected,Dist Standard,FK Standard,G/Sh Standard,G/SoT Standard,Gls Standard,PK Standard,PKatt Standard,Sh Standard,Sh/90 Standard,SoT Standard,SoT% Standard,SoT/90 Standard,1/3,Ast,CrsPA,A-xAG Expected,xA Expected,KP,Att Long,Cmp Long,Cmp% Long,Att Medium,Cmp Medium,Cmp% Medium,PPA,PrgP,Att Short,Cmp Short,Cmp% Short,Att Total,Cmp Total,Cmp% Total,PrgDist Total,TotDist Total,xAG,Att,In Corner Kicks,Out Corner Kicks,Str Corner Kicks,Blocks Outcomes,Cmp Outcomes,Off Outcomes,CK Pass Types,Crs Pass Types,Dead Pass Types,FK Pass Types,Live Pass Types,Sw Pass Types,TB Pass Types,TI Pass Types,GCA GCA,GCA90 GCA,Def GCA Types,Fld GCA Types,PassDead GCA Types,PassLive GCA Types,Sh GCA Types,TO GCA Types,SCA SCA,SCA90 SCA,Def SCA Types,Fld SCA Types,PassDead SCA Types,PassLive SCA Types,Sh SCA Types,TO SCA Types,Blocks Blocks,Pass Blocks,Sh Blocks,Att Challenges,Lost Challenges,Tkl Challenges,Tkl% Challenges,Clr,Err,Int,Att 3rd Tackles,Def 3rd Tackles,Mid 3rd Tackles,Tkl Tackles,TklW Tackles,Tkl+Int,1/3 Carries,CPA Carries,Carries Carries,Dis Carries,Mis Carries,PrgC Carries,PrgDist Carries,TotDist Carries,PrgR Receiving,Rec Receiving,Att Take-Ons,Succ Take-Ons,Succ% Take-Ons,Tkld Take-Ons,Tkld% Take-Ons,Att 3rd Touches,Att Pen Touches,Def 3rd Touches,Def Pen Touches,Live Touches,Mid 3rd Touches,Touches Touches,Min% Playing Time,Mn/MP Playing Time,Compl Starts,Mn/Start Starts,Starts Starts,Mn/Sub Subs,Subs Subs,unSub Subs,+/- Team Success,+/-90 Team Success,On-Off Team Success,PPM Team Success,onG Team Success,onGA Team Success,On-Off Team Success (xG),onxG Team Success (xG),onxGA Team Success (xG),xG+/- Team Success (xG),xG+/-90 Team Success (xG),Lost Aerial Duels,Won Aerial Duels,Won% Aerial Duels,2CrdY Performance,Crs Performance,Fld Performance,Fls Performance,Int Performance,OG Performance,Off Performance,PKcon Performance,PKwon Performance,Recov Performance,TklW Performance
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6,6,540,6.0,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,,46,8,17.4,-0.22,3.7,-1.3,0.26,19,41.4,52.6,1,0,5,0,0,69,19,27.5,169,33.3,34.9,30,9,1.5,14.6,ENG,GK,25,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,4,0,0,0.0,0.0,0,86,32,37.2,62,61,98.4,0,2,38,38,100.0,188,131,69.7,2420,3303,0.0,188,0,0,0,2,131,0,0,0,35,16,153,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,0,0,0,0,0,0,0,0,0,137,0,1,0,399,697,0,104,0,0,,0,,0,0,186,140,197,11,197,15.8,90,6,90,6,,0,31,6,1.0,-0.75,2.67,11,5,-0.45,11.1,5.8,5.3,0.89,0,0,,0,0,1,0,0,0,0,0,0,6,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32,32,2880,32.0,24,0.75,69,45,68.1,23,4,5,16,50.0,3,2,1,0,33.3,329,40,12.2,-0.08,20.4,-2.6,0.26,96,47.5,62.5,5,1,24,1,2,372,138,37.1,969,30.7,32.2,159,50,1.56,17.9,ESP,GK,27,1995,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,30,0,0,0.0,0.1,0,439,183,41.7,391,387,99.0,0,2,231,228,98.7,1068,800,74.9,14108,19691,0.0,1068,0,0,0,2,800,3,0,0,167,71,898,1,0,0,0,0.0,0,0,0,0,0,0,4,0.12,0,0,1,3,0,0,0,0,0,1,0,1,100.0,8,5,0,0,1,0,1,1,1,0,0,728,0,1,0,1992,3442,0,637,0,0,,0,,0,0,1060,764,1099,39,1099,84.2,90,32,90,32,,0,3,56,1.75,0.75,2.28,80,24,0.45,65.0,22.1,42.9,1.34,1,5,83.3,0,0,4,0,0,0,0,0,0,38,1
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,34,34,3015,33.5,48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0.0,373,45,12.1,0.2,50.6,6.6,0.37,159,36.1,40.9,10,0,48,4,1,332,121,36.4,1270,27.7,21.0,157,69,2.06,17.5,ARG,GK,30,1992,34,34,3015,33.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,21,0,0,0.0,0.0,2,452,223,49.3,722,715,99.0,0,2,250,248,99.2,1436,1190,82.9,16368,28047,0.0,1436,0,0,0,1,1190,7,0,0,259,100,1170,0,0,0,1,0.03,0,0,0,1,0,0,3,0.09,0,0,0,3,0,0,0,0,0,0,0,0,,12,3,0,0,0,0,0,0,0,0,0,933,0,1,0,2772,4389,0,800,0,0,,0,,0,0,1484,1139,1509,25,1509,88.2,89,33,89,34,,0,0,24,0.72,2.72,1.91,72,48,1.52,58.8,49.8,9.0,0.27,0,5,100.0,0,0,7,1,0,2,0,0,0,48,0
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,33,1990,5,4,405,4.5,13,2.89,34,20,61.8,1,0,3,0,0.0,1,0,1,0,100.0,46,6,13.0,-0.43,11.1,-1.9,0.3,27,35.9,44.4,0,1,13,0,0,48,15,31.3,176,27.1,20.5,19,1,0.22,8.4,SWE,GK,33,1990,5,4,405,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,1,0,0,0.0,0.0,0,63,26,41.3,90,89,98.9,0,0,49,49,100.0,203,165,81.3,2046,3545,0.0,203,0,0,0,0,165,0,0,0,40,13,163,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,131,0,0,0,303,626,0,115,0,0,,0,,0,0,215,200,216,1,216,11.8,81,4,90,4,45,1,26,-9,-2.0,-2.72,0.8,4,13,-1.52,4.5,10.1,-5.6,-1.25,0,2,100.0,0,0,2,0,0,0,0,0,0,4,0
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2,2,180,2.0,7,3.5,11,4,36.4,1,0,1,0,0.0,0,0,0,0,,19,2,10.5,-2.04,2.9,-4.1,0.27,11,29.2,36.4,3,0,7,0,0,15,5,33.3,57,26.9,19.3,10,0,0.0,9.6,ROU,GK,26,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,0,0,0,0.0,0.0,0,19,8,42.1,30,29,96.7,0,0,19,19,100.0,68,56,82.4,583,1211,0.0,68,0,0,0,0,56,0,0,0,14,3,54,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,101,215,0,40,0,0,,0,,0,0,70,64,70,0,70,5.3,90,2,90,2,,0,11,-4,-2.0,-1.75,1.5,3,7,-0.35,2.0,2.8,-0.8,-0.39,0,0,,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Mark Travers,IRL,GK,24,1999,4,4,360,4.0,5,1.25,18,13,77.8,2,0,2,2,50.0,1,1,0,0,0.0,60,3,5.0,0.01,5.0,0.0,0.23,26,55.6,80.8,0,0,5,0,1,72,22,30.6,92,41.7,55.4,13,3,0.75,14.8,IRL,GK,24,1999,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,5,0,0,0.0,0.0,0,77,26,33.8,31,31,100.0,0,0,10,10,100.0,118,67,56.8,1616,2248,0.0,118,0,0,0,0,67,0,0,0,42,16,76,0,0,0,0,0.0,0,0,0,0,0,0,2,0.5,0,0,1,1,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,180,405,0,52,0,0,,0,,0,0,131,111,131,0,131,10.5,90,4,90,4,,0,25,0,0.0,0.38,1.5,5,5,-0.19,5.0,5.9,-0.9,-0.23,0,2,100.0,0,0,1,1,0,0,0,1,0,1,0
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34,1989,32,32,2880,32.0,55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7,413,26,6.3,0.04,55.2,1.2,0.31,223,44.2,57.0,3,1,55,1,5,494,172,34.8,833,36.9,44.1,154,34,1.06,13.7,BRA,GK,34,1989,32,32,2880,32.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,23,0,0,0.0,0.0,0,585,236,40.3,371,360,97.0,0,0,97,95,97.9,1060,692,65.3,15023,20318,0.0,1060,0,0,0,2,692,4,0,0,307,84,749,2,0,0,0,0.0,0,0,0,0,0,0,5,0.16,0,0,1,4,0,0,1,1,0,0,0,0,,12,3,1,0,0,0,0,0,1,0,0,635,0,0,0,2495,3771,0,474,2,2,100.0,0,0.0,0,0,1129,949,1138,9,1138,84.2,90,32,90,32,,0,4,-9,-0.28,0.39,1.22,46,55,0.27,49.0,49.5,-0.5,-0.02,0,9,100.0,0,0,0,1,1,0,0,0,0,38,0
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30,1993,37,37,3285,36.5,63,1.73,176,113,65.3,10,9,18,7,18.9,2,2,0,0,0.0,568,44,7.7,-0.21,55.4,-7.6,0.31,289,46.7,60.9,6,0,63,0,2,647,242,37.4,1288,34.5,36.6,131,37,1.01,12.6,NED,GK,30,1993,37,37,3285,36.5,0,1,1,0,0,0,3,0,0.0,0.0,0.5,0.5,0,5,0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,36.5,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,37,1,0,0.5,0.2,4,832,394,47.4,580,575,99.1,1,5,161,159,98.8,1580,1131,71.6,22385,32732,0.5,1580,0,0,0,0,1131,3,0,0,455,166,1122,5,0,0,3,0.08,0,0,2,1,0,0,10,0.27,0,0,7,3,0,0,1,1,0,5,4,1,20.0,17,1,0,0,1,0,1,1,1,0,0,930,0,0,0,2908,5167,0,810,4,3,75.0,1,25.0,0,0,1584,1268,1658,74,1658,96.1,89,36,89,37,,0,0,-10,-0.27,-0.94,1.05,53,63,0.23,56.8,54.3,2.5,0.07,1,10,90.9,0,0,4,2,0,0,0,1,0,41,1
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28,1995,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,,37,2,5.4,-0.3,1.5,-0.5,0.2,15,39.9,46.7,0,0,2,0,0,30,12,40.0,56,35.8,41.1,5,1,0.67,10.0,ALB,GK,28,1995,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,1,0,0,0.0,0.0,0,37,19,51.4,28,27,96.4,0,0,6,6,100.0,71,52,73.2,977,1509,0.0,71,0,0,0,0,52,0,0,0,26,11,45,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,88,156,0,32,0,0,,0,,0,0,74,62,75,1,75,3.9,68,1,90,1,45,1,32,1,0.67,0.94,1.5,3,2,-0.23,1.4,1.6,-0.2,-0.16,0,0,,0,0,1,0,0,0,0,0,0,1,0
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,20,2002,21,21,1890,21.0,28,1.33,91,63,72.5,7,8,6,4,19.0,3,3,0,0,0.0,232,17,7.3,-0.12,25.4,-2.6,0.25,72,15.7,9.7,3,0,28,0,3,142,55,38.7,789,24.4,17.1,117,31,1.48,15.8,NED,GK,20,2002,21,21,1890,21.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,3,0,0,0.0,0.0,0,226,129,57.1,315,309,98.1,0,3,307,304,99.0,862,753,87.4,10381,14982,0.0,862,0,0,0,1,753,1,0,0,90,17,771,0,0,1,0,0.0,0,0,0,0,0,0,3,0.14,0,0,0,3,0,0,0,0,0,2,1,1,50.0,11,3,0,0,1,0,1,1,1,0,0,672,0,0,0,1279,2520,0,580,1,1,100.0,0,0.0,0,0,897,779,906,9,906,55.3,90,21,90,21,,0,17,3,0.14,0.73,1.38,31,28,-0.3,28.4,30.5,-2.1,-0.1,0,5,100.0,0,0,2,1,0,0,0,0,0,33,1
