league,season,team,player,nation,pos,age,born,MP Playing Time,Starts Playing Time,Min Playing Time,90s Playing Time,Gls Performance,Ast Performance,G+A Performance,G-PK Performance,PK Performance,PKatt Performance,CrdY Performance,CrdR Performance,xG Expected,npxG Expected,xAG Expected,npxG+xAG Expected,PrgC Progression,PrgP Progression,PrgR Progression,Gls Per 90 Minutes,Ast Per 90 Minutes,G+A Per 90 Minutes,G-PK Per 90 Minutes,G+A-PK Per 90 Minutes,xG Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,npxG Per 90 Minutes,npxG+xAG Per 90 Minutes,90s,G-xG Expected,np:G-xG Expected,npxG/Sh Expected,Dist Standard,FK Standard,G/Sh Standard,G/SoT Standard,Gls Standard,PK Standard,PKatt Standard,Sh Standard,Sh/90 Standard,SoT Standard,SoT% Standard,SoT/90 Standard,1/3,Ast,CrsPA,A-xAG Expected,xA Expected,KP,Att Long,Cmp Long,Cmp% Long,Att Medium,Cmp Medium,Cmp% Medium,PPA,PrgP,Att Short,Cmp Short,Cmp% Short,Att Total,Cmp Total,Cmp% Total,PrgDist Total,TotDist Total,xAG,Att,In Corner Kicks,Out Corner Kicks,Str Corner Kicks,Blocks Outcomes,Cmp Outcomes,Off Outcomes,CK Pass Types,Crs Pass Types,Dead Pass Types,FK Pass Types,Live Pass Types,Sw Pass Types,TB Pass Types,TI Pass Types,GCA GCA,GCA90 GCA,Def GCA Types,Fld GCA Types,PassDead GCA Types,PassLive GCA Types,Sh GCA Types,TO GCA Types,SCA SCA,SCA90 SCA,Def SCA Types,Fld SCA Types,PassDead SCA Types,PassLive SCA Types,Sh SCA Types,TO SCA Types,Blocks Blocks,Pass Blocks,Sh Blocks,Att Challenges,Lost Challenges,Tkl Challenges,Tkl% Challenges,Clr,Err,Int,Att 3rd Tackles,Def 3rd Tackles,Mid 3rd Tackles,Tkl Tackles,TklW Tackles,Tkl+Int,1/3 Carries,CPA Carries,Carries Carries,Dis Carries,Mis Carries,PrgC Carries,PrgDist Carries,TotDist Carries,PrgR Receiving,Rec Receiving,Att Take-Ons,Succ Take-Ons,Succ% Take-Ons,Tkld Take-Ons,Tkld% Take-Ons,Att 3rd Touches,Att Pen Touches,Def 3rd Touches,Def Pen Touches,Live Touches,Mid 3rd Touches,Touches Touches,Min% Playing Time,Mn/MP Playing Time,Compl Starts,Mn/Start Starts,Starts Starts,Mn/Sub Subs,Subs Subs,unSub Subs,+/- Team Success,+/-90 Team Success,On-Off Team Success,PPM Team Success,onG Team Success,onGA Team Success,On-Off Team Success (xG),onxG Team Success (xG),onxGA Team Success (xG),xG+/- Team Success (xG),xG+/-90 Team Success (xG),Lost Aerial Duels,Won Aerial Duels,Won% Aerial Duels,2CrdY Performance,Crs Performance,Fld Performance,Fls Performance,Int Performance,OG Performance,Off Performance,PKcon Performance,PKwon Performance,Recov Performance,TklW Performance
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,4,0,0,0.0,0.0,0,86,32,37.2,62,61,98.4,0,2,38,38,100.0,188,131,69.7,2420,3303,0.0,188,0,0,0,2,131,0,0,0,35,16,153,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,0,0,0,0,0,0,0,0,0,137,0,1,0,399,697,0,104,0,0,,0,,0,0,186,140,197,11,197,15.8,90,6,90,6,,0,31,6,1.0,-0.75,2.67,11,5,-0.45,11.1,5.8,5.3,0.89,0,0,,0,0,1,0,0,0,0,0,0,6,0
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,1997,37,35,2988,33.2,4,4,8,4,0,0,8,0,1.2,1.2,3.8,5.0,44,192,162,0.12,0.12,0.24,0.12,0.24,0.03,0.11,0.15,0.03,0.15,33.2,2.8,2.8,0.09,13.2,0,0.31,0.67,4,0,0,13,0.39,6,46.2,0.18,172,4,10,0.2,3.7,38,171,85,49.7,832,713,85.7,45,192,1099,999,90.9,2177,1828,84.0,9801,28002,3.8,2177,0,0,0,21,1828,4,0,57,251,46,1922,11,5,205,7,0.21,0,0,0,6,1,0,86,2.59,2,0,5,76,2,1,48,26,22,58,32,26,44.8,77,1,32,6,20,22,48,28,80,34,9,1321,9,26,44,2672,4867,162,1675,22,9,40.9,12,54.5,676,64,633,120,2456,1165,2456,87.4,81,27,85,35,7,2,0,55,1.66,0.2,2.32,81,26,0.13,67.4,24.7,42.7,1.29,22,36,62.1,0,57,12,19,32,0,11,0,0,120,28
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,32.4,0.5,-0.8,0.11,16.3,0,0.1,0.32,16,6,6,102,3.14,31,30.4,0.96,39,9,12,-1.5,11.0,91,183,80,43.7,427,331,77.5,73,126,793,705,88.9,1512,1143,75.6,4402,16891,10.5,1512,99,0,0,50,1143,9,119,181,138,7,1365,3,4,12,21,0.65,0,1,2,16,1,1,188,5.8,2,4,26,137,9,10,43,41,2,59,33,26,44.1,24,1,15,20,22,24,66,35,81,68,72,1223,53,56,155,3728,7180,508,1393,122,49,40.2,54,44.3,1310,271,182,37,1946,474,1952,85.4,83,17,83,35,,0,0,51,1.57,-0.4,2.29,78,27,0.04,66.4,25.0,41.3,1.27,36,23,39.0,0,181,69,41,15,0,8,0,1,155,35
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,31,1991,3,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,4,0,0,0.0,0.0,0,8,5,62.5,17,15,88.2,0,3,41,39,95.1,69,60,87.0,157,905,0.0,69,0,0,0,1,60,0,0,4,8,2,61,0,0,6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,69,139,6,56,0,0,,0,,12,0,10,0,69,47,69,1.8,21,0,,0,21,3,15,1,1.45,-0.18,3.0,1,0,-0.66,0.9,0.5,0.4,0.62,1,0,0.0,0,4,1,0,0,0,0,0,0,3,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,30,0,0,0.0,0.1,0,439,183,41.7,391,387,99.0,0,2,231,228,98.7,1068,800,74.9,14108,19691,0.0,1068,0,0,0,2,800,3,0,0,167,71,898,1,0,0,0,0.0,0,0,0,0,0,0,4,0.12,0,0,1,3,0,0,0,0,0,1,0,1,100.0,8,5,0,0,1,0,1,1,1,0,0,728,0,1,0,1992,3442,0,637,0,0,,0,,0,0,1060,764,1099,39,1099,84.2,90,32,90,32,,0,3,56,1.75,0.75,2.28,80,24,0.45,65.0,22.1,42.9,1.34,1,5,83.3,0,0,4,0,0,0,0,0,0,38,1
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,38,37,3225,35.8,7,8,15,7,0,0,5,0,3.3,3.3,5.3,8.6,75,278,64,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24,35.8,3.7,3.7,0.06,20.4,2,0.12,0.35,7,0,0,58,1.62,20,34.5,0.56,240,8,2,2.7,4.8,47,210,137,65.2,975,910,93.3,39,278,1031,958,92.9,2295,2041,88.9,9378,34242,5.3,2295,38,0,0,26,2041,7,47,60,107,48,2181,17,2,1,12,0.33,0,0,5,6,1,0,100,2.79,5,0,16,71,5,3,37,26,11,57,25,32,56.1,52,0,44,8,37,38,83,51,127,70,16,1675,22,31,75,5139,10194,64,1928,46,21,45.7,20,43.5,696,67,581,100,2650,1398,2650,94.3,85,29,87,37,24,1,0,56,1.56,-1.21,2.34,84,28,-0.18,71.6,26.5,45.1,1.26,43,39,47.6,0,60,13,34,44,0,2,2,0,178,51
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,1999,27,10,1082,12.0,5,2,7,5,0,0,3,0,4.5,4.5,0.8,5.4,22,20,77,0.42,0.17,0.58,0.42,0.58,0.38,0.07,0.45,0.38,0.45,12.0,0.5,0.5,0.12,12.7,0,0.13,0.42,5,0,0,38,3.16,12,31.6,1.0,7,2,0,1.2,0.7,9,4,3,75.0,72,60,83.3,5,20,118,98,83.1,215,168,78.1,267,2332,0.8,215,0,0,0,10,168,0,0,5,16,0,199,0,3,1,8,0.67,0,3,0,3,1,1,28,2.33,0,3,0,17,5,3,11,11,0,7,5,2,28.6,4,0,4,4,2,6,12,7,16,12,11,236,18,38,22,497,1195,77,275,30,8,26.7,15,50.0,207,75,18,5,371,148,371,31.6,40,3,78,10,18,17,11,14,1.16,-0.68,2.15,24,10,-0.39,22.3,10.3,12.1,1.0,27,23,46.0,0,5,28,24,4,0,8,0,2,24,7
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,13,3,353,3.9,0,1,1,0,0,0,0,0,2.0,2.0,0.2,2.2,11,23,18,0.0,0.25,0.25,0.0,0.25,0.5,0.06,0.56,0.5,0.56,3.9,-2.0,-2.0,0.13,15.6,0,0.0,0.0,0,0,0,15,3.82,5,33.3,1.27,13,1,0,0.8,0.4,4,4,1,25.0,57,54,94.7,11,23,143,128,89.5,213,188,88.3,496,2449,0.2,213,0,0,0,2,188,0,1,1,6,3,207,1,0,1,2,0.51,0,0,1,1,0,0,13,3.31,0,1,1,10,1,0,3,2,1,4,2,2,50.0,1,0,3,0,2,2,4,1,7,8,1,154,4,6,11,472,827,18,189,7,3,42.9,3,42.9,127,19,21,1,253,106,253,10.3,27,0,76,3,13,10,18,9,2.29,0.74,2.23,12,3,0.22,7.8,2.0,5.8,1.47,5,3,37.5,0,1,2,5,3,0,0,0,0,15,1
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.2,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,1,0,0,0.0,0.0,1,0,0,,5,5,100.0,2,2,13,10,76.9,18,15,83.3,56,209,0.0,18,0,0,0,0,15,0,0,0,0,0,18,0,0,0,0,0.0,0,0,0,0,0,0,1,6.43,0,0,0,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,16,0,0,2,66,123,1,17,1,0,0.0,0,0.0,11,2,0,0,20,9,20,0.4,14,0,,0,14,1,1,0,0.0,-1.64,3.0,0,0,-1.97,0.0,0.1,-0.1,-0.69,0,1,100.0,0,0,1,1,0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,"MF,FW",23,2000,11,2,297,3.3,1,2,3,0,1,1,0,1,1.3,0.5,1.6,2.1,12,15,30,0.3,0.61,0.91,0.0,0.61,0.38,0.49,0.87,0.14,0.64,3.3,-0.3,-0.5,0.08,18.0,0,0.0,0.0,1,1,1,6,1.82,1,16.7,0.3,12,2,1,0.4,0.8,5,17,9,52.9,53,44,83.0,6,15,75,67,89.3,150,122,81.3,421,1969,1.6,150,3,0,0,1,122,1,8,15,12,3,137,2,3,0,5,1.52,0,3,1,1,0,0,12,3.64,0,3,1,7,1,0,0,0,0,3,0,3,100.0,2,0,2,1,2,0,3,2,5,3,6,111,5,7,12,298,561,30,141,9,2,22.2,6,66.7,97,20,14,2,183,76,184,8.7,27,0,62,2,19,9,13,9,2.73,1.2,2.36,11,2,0.74,8.2,1.8,6.4,1.94,0,1,100.0,0,15,10,8,2,0,2,0,2,16,2
